cpu,memory,disk,network_in,network_out,label
37.2,58.24,32.87,2342.58,283.66,0
40.89,35.33,54.55,2421.75,743.26,0
21.33,41.16,40.89,826.47,124.9,0
30.22,45.09,50.49,89.1,436.02,0
35.77,61.35,34.05,1310.21,209.9,0
50.57,35.37,35.17,963.68,518.18,0
93.96,55.4,26.98,617.74,94.86,1
42.92,58.97,31.88,566.57,169.88,0
10.33,41.6,45.99,1191.05,240.96,0
70.63,59.66,59.47,11.58,259.77,0
28.48,54.85,37.49,571.34,143.72,0
57.91,68.6,46.56,803.63,167.56,0
55.03,40.5,43.0,1074.5,410.73,0
51.46,50.3,45.55,219.46,276.25,0
47.34,50.21,30.67,80.37,481.06,0
99.26,88.23,97.59,7052.72,3927.72,1
48.44,40.15,25.43,154.12,73.47,0
44.98,36.49,40.04,1202.53,649.91,0
45.8,55.7,38.16,2123.96,345.45,0
58.72,25.3,51.12,267.43,4.44,0
16.03,56.25,33.04,532.15,110.26,0
47.98,27.91,35.15,1112.16,489.35,0
16.94,25.83,30.5,325.67,315.56,0
35.2,64.06,36.14,48.26,698.9,0
45.07,57.6,31.35,310.28,659.32,0
71.83,39.4,45.28,616.15,211.56,0
30.63,45.25,31.74,550.39,276.61,0
44.66,52.37,41.41,1496.43,627.8,0
34.64,40.69,43.03,683.77,82.29,0
36.86,36.2,36.95,1815.99,649.57,0
24.47,41.67,65.0,590.16,63.64,0
97.76,31.38,37.74,834.4,6.01,1
57.39,24.04,48.72,241.47,2000.0,0
41.46,23.15,35.61,564.82,749.97,0
40.88,41.08,60.7,281.03,11.0,0
96.2,83.08,84.79,4875.08,4140.22,1
74.09,41.54,27.33,16.94,321.43,0
22.74,32.62,42.45,7.41,80.97,0
30.94,60.94,47.13,197.81,578.51,0
27.14,39.64,42.24,1858.13,292.73,0
32.3,34.74,21.88,1541.63,19.01,0
45.51,47.12,30.5,149.94,133.32,0
18.77,34.44,31.41,96.17,242.67,0
27.91,25.47,33.76,572.28,1250.29,0
25.08,40.62,44.82,589.91,131.73,0
40.36,44.43,26.67,1811.13,10.41,0
27.37,88.27,37.03,1525.49,128.69,1
66.95,42.94,35.12,1842.84,1513.3,0
5.0,49.16,51.18,156.84,54.67,0
40.21,40.43,20.88,373.68,13.06,0
48.16,38.91,38.35,182.65,1.43,0
46.71,45.56,39.64,236.38,193.82,0
37.2,97.36,39.7,149.76,396.23,1
10.47,60.23,31.59,434.76,92.91,0
54.8,48.27,35.49,332.76,108.24,0
75.0,35.75,36.83,1488.43,946.23,0
52.82,41.0,56.15,3306.81,123.69,0
30.32,48.47,36.47,1982.61,25.52,0
39.95,28.56,52.59,724.09,223.72,0
27.61,50.67,36.28,119.67,163.34,0
21.23,36.4,48.44,3056.95,304.64,0
95.01,97.98,98.16,6762.72,3636.51,1
53.86,42.44,25.49,899.54,57.13,0
67.14,20.18,25.5,1490.58,137.7,0
55.81,54.25,40.55,253.27,38.32,0
35.21,97.8,27.06,1932.57,21.86,1
24.52,46.87,33.72,72.18,615.35,0
39.91,26.61,42.47,3100.73,389.86,0
68.14,26.85,35.88,695.98,104.56,0
28.11,32.24,64.12,433.81,155.77,0
64.54,40.29,40.1,1373.06,32.54,0
45.42,67.94,23.64,992.67,481.54,0
51.36,56.6,54.36,302.1,9.15,0
35.99,49.16,38.56,405.81,433.28,0
31.96,65.74,37.48,1067.63,51.32,0
33.07,66.83,40.44,49.84,254.21,0
23.62,43.9,32.82,590.95,121.76,0
71.5,31.63,40.52,151.51,79.61,0
11.99,45.16,38.01,1096.08,829.98,0
66.28,61.14,41.78,106.72,478.17,0
37.49,26.15,24.89,3235.02,104.46,0
90.48,31.03,38.8,60.76,165.76,1
36.48,38.0,35.27,383.82,464.48,0
33.22,40.12,52.31,702.51,237.13,0
34.06,42.49,42.05,583.32,7.66,0
55.45,41.28,42.21,144.49,1697.88,0
10.47,44.64,30.78,7.28,410.49,0
44.85,49.95,49.59,1305.22,216.47,0
16.21,49.11,45.08,1036.29,549.47,0
28.91,46.89,40.75,315.78,62.0,0
61.8,22.76,45.5,386.98,623.57,0
38.62,70.0,50.17,1914.55,306.73,0
9.25,54.47,55.28,997.09,268.48,0
54.76,30.27,34.51,2151.14,1959.18,0
90.96,97.26,99.97,4922.19,2924.58,1
13.1,45.79,29.58,623.27,151.08,0
60.33,52.84,37.98,334.47,25.6,0
24.12,46.98,30.39,1495.22,291.69,0
33.4,62.3,42.26,59.56,1091.02,0
55.06,91.17,34.24,351.13,251.87,1
58.27,51.36,58.0,1384.63,284.68,0
29.4,16.25,42.64,431.27,694.58,0
31.25,28.93,39.43,635.11,1.31,0
43.87,64.7,40.18,577.32,57.66,0
34.46,58.0,40.44,88.82,263.17,0
69.94,50.47,31.61,1315.43,330.68,0
40.72,45.16,30.53,7.78,1254.98,0
23.44,44.98,37.14,203.52,90.99,0
33.14,42.87,49.14,184.49,42.89,0
22.78,33.7,48.32,188.5,488.43,0
48.3,36.86,41.1,1316.72,943.75,0
23.06,40.9,40.95,896.44,231.76,0
46.89,68.31,39.19,584.71,246.99,0
42.01,54.38,37.59,1342.11,603.11,0
32.03,29.05,47.9,1632.87,506.69,0
57.59,57.31,33.24,174.24,204.91,0
61.84,49.73,42.42,405.53,390.8,0
9.61,22.82,41.69,1084.39,276.89,0
34.65,57.77,37.97,1879.67,377.83,0
35.57,32.09,24.67,66.69,351.5,0
40.49,42.01,36.05,649.85,79.34,0
41.23,30.61,45.21,2402.76,314.86,0
48.98,63.06,40.75,40.23,707.22,0
55.71,54.81,32.57,90.96,131.25,0
49.49,64.72,35.13,1497.72,202.82,0
51.49,48.55,34.13,253.91,594.9,0
48.87,46.59,35.86,173.33,65.37,0
35.48,35.25,41.24,324.97,218.64,0
37.04,38.06,40.78,951.59,168.11,0
48.56,46.29,36.89,17.98,629.12,0
37.38,56.51,32.77,584.51,604.23,0
39.71,38.52,46.94,169.61,443.67,0
25.38,48.41,48.58,247.04,97.65,0
60.4,30.27,48.65,1031.92,35.84,0
44.04,61.11,56.75,142.85,585.43,0
22.43,64.07,39.47,1108.89,87.63,0
42.03,48.97,59.93,2855.39,104.84,0
40.19,41.36,45.38,1817.48,115.33,0
28.41,43.16,42.45,550.31,134.4,0
49.4,53.12,28.45,482.55,810.52,0
19.62,32.99,26.17,495.84,881.86,0
63.25,45.6,35.24,724.81,402.67,0
33.29,49.48,32.61,278.23,45.75,0
55.86,44.74,42.1,667.42,23.91,0
34.55,51.67,54.94,63.42,399.32,0
50.2,45.95,52.13,53.24,880.79,0
32.04,61.71,32.71,68.78,699.67,0
66.24,66.18,42.95,2023.45,210.03,0
35.3,50.41,34.47,372.5,442.84,0
58.69,70.0,47.8,2887.34,350.73,0
98.54,95.89,88.84,4836.83,2049.61,1
55.36,44.2,37.59,1229.68,227.86,0
33.08,48.26,47.73,1035.72,222.11,0
37.22,57.56,42.38,3.51,149.14,0
31.62,53.07,32.29,330.25,384.65,0
42.39,52.62,35.32,314.19,41.37,0
18.05,40.85,55.99,807.35,46.77,0
22.68,23.78,30.96,4000.0,201.48,0
75.0,39.21,59.01,409.85,412.11,0
26.36,39.77,35.16,387.24,114.53,0
32.5,50.7,37.77,67.97,363.48,0
53.38,44.22,38.19,165.25,311.05,0
45.91,39.62,28.72,127.58,24.75,0
48.69,48.09,54.91,325.39,35.43,0
93.58,37.48,37.83,464.1,213.07,1
12.97,32.54,45.39,264.75,661.21,0
44.19,34.28,39.82,452.51,586.36,0
49.24,32.43,39.11,2053.65,120.45,0
37.45,57.78,58.63,1026.24,30.75,0
27.73,58.01,50.37,198.75,229.85,0
29.83,44.95,44.12,285.95,799.98,0
53.87,37.43,44.33,1139.44,96.8,0
27.62,43.35,37.69,21.59,139.86,0
50.23,69.62,24.95,1768.22,7.56,0
33.74,38.65,32.97,688.25,52.35,0
32.82,40.67,39.88,181.49,1642.25,0
32.38,46.66,47.9,225.27,538.15,0
18.91,59.42,39.2,125.24,91.46,0
30.56,57.46,47.5,236.57,1177.77,0
42.72,31.46,31.55,180.88,498.1,0
57.72,38.17,44.37,310.88,451.52,0
55.53,39.3,36.77,1883.06,1694.8,0
25.32,45.52,43.37,260.54,137.81,0
54.63,35.74,42.0,203.24,623.75,0
32.6,50.48,26.08,2693.23,351.15,0
36.65,57.49,33.71,163.15,403.6,0
47.5,37.6,22.07,1631.09,50.77,0
49.87,40.16,40.13,1358.18,66.63,0
57.09,43.43,33.32,1144.08,36.62,0
21.83,47.53,48.16,358.98,1025.14,0
12.45,57.82,56.35,448.23,521.4,0
11.33,70.0,26.17,27.84,179.13,0
35.2,42.98,19.64,1086.88,468.8,0
38.19,57.45,51.71,239.29,39.83,0
25.6,34.91,20.97,1744.21,490.23,0
44.94,51.49,39.45,83.35,337.23,0
39.64,44.47,31.13,1434.37,42.35,0
29.23,30.53,47.18,436.37,727.82,0
31.94,38.1,30.45,3239.21,603.44,0
8.7,64.77,51.49,200.42,21.45,0
29.82,45.57,21.72,138.83,854.0,0
29.07,60.26,55.16,1193.41,878.0,0
24.94,47.3,40.96,1446.33,344.41,0
55.88,35.75,51.06,163.42,1146.64,0
49.76,36.41,32.21,80.09,109.79,0
11.36,55.55,50.53,1828.76,785.28,0
27.6,36.03,51.35,18.31,353.67,0
43.5,35.99,33.83,44.39,272.89,0
48.0,51.13,59.68,1656.91,92.5,0
44.02,57.74,52.9,690.59,91.39,0
23.85,25.62,37.43,120.92,190.38,0
24.76,59.25,15.0,2090.0,274.68,0
27.81,65.37,47.76,1007.06,393.67,0
29.0,40.2,38.31,1944.05,201.56,0
41.43,36.58,50.39,191.59,274.87,0
20.39,56.94,36.65,2027.5,321.22,0
44.7,68.12,51.24,1066.78,64.43,0
64.59,56.63,41.81,441.25,1483.38,0
34.18,38.62,45.64,345.02,224.98,0
51.09,55.62,15.29,2930.44,207.33,0
49.23,15.09,27.0,581.06,70.61,0
38.79,53.86,46.17,595.37,563.87,0
64.6,54.84,40.68,1805.8,902.02,0
45.99,51.03,23.32,316.21,428.84,0
39.14,34.96,39.25,1410.78,349.35,0
87.6,86.43,98.4,6878.73,2005.89,1
86.74,98.28,82.85,4031.02,2060.59,1
42.88,96.09,38.25,53.19,181.55,1
17.15,34.67,29.13,1478.49,272.54,0
39.01,63.66,39.28,1023.45,690.98,0
15.99,52.08,50.73,2865.69,415.6,0
39.08,95.07,34.08,195.24,1497.91,1
38.93,53.94,44.91,953.98,1303.01,0
57.24,46.29,55.56,3283.19,513.37,0
44.0,30.99,43.76,561.94,153.41,0
40.1,70.0,60.31,791.97,518.62,0
53.12,44.67,55.95,1119.59,318.56,0
36.55,16.45,48.88,877.73,166.09,0
56.06,22.5,25.74,251.05,553.89,0
31.8,43.68,38.0,1424.92,220.07,0
19.45,40.64,34.11,1586.38,1164.14,0
41.0,62.7,41.85,413.86,236.7,0
34.86,47.98,18.97,118.75,123.31,0
23.87,57.33,50.76,1466.95,1169.04,0
53.35,50.27,34.53,831.36,1549.8,0
40.34,49.1,34.78,592.61,547.98,0
29.22,39.28,46.75,534.79,346.53,0
16.81,58.72,32.45,3133.34,61.32,0
32.11,51.82,36.52,461.2,446.74,0
46.39,37.82,33.76,1763.92,376.43,0
31.76,40.95,29.38,642.13,554.08,0
45.42,30.85,35.59,795.51,537.1,0
38.28,47.16,40.19,1446.05,386.67,0
46.79,36.97,15.0,734.13,220.57,0
50.19,32.34,37.84,73.57,126.95,0
42.15,42.23,40.47,4000.0,953.79,0
46.97,30.55,33.13,1551.62,280.39,0
45.46,30.91,36.83,16.17,119.11,0
26.22,43.56,42.85,404.11,43.38,0
86.11,87.2,89.49,5622.69,4734.97,1
54.24,45.38,41.12,1292.96,266.53,0
58.56,38.45,49.02,776.1,595.08,0
35.5,37.32,43.19,441.9,392.05,0
14.64,31.68,39.58,751.97,131.0,0
61.29,44.31,26.42,918.03,176.84,0
43.29,43.96,43.44,90.14,517.74,0
24.19,54.74,36.6,1116.12,127.09,0
10.5,51.12,36.3,186.84,94.22,0
40.38,48.01,39.89,16.97,274.44,0
44.3,51.31,25.68,272.84,400.83,0
43.22,46.7,43.73,2098.91,47.1,0
40.53,48.23,31.0,600.74,389.35,0
28.98,48.04,52.16,359.48,183.41,0
38.6,41.54,50.78,1157.3,799.92,0
69.12,42.65,51.26,39.36,951.51,0
25.27,55.09,44.04,28.75,962.52,0
36.83,44.97,41.21,519.89,359.31,0
38.48,22.6,45.11,100.5,172.04,0
29.93,63.0,32.55,1561.98,67.89,0
37.41,46.31,39.96,60.97,635.09,0
60.27,42.76,39.4,684.62,505.14,0
38.84,40.37,37.75,704.22,193.61,0
40.26,39.54,28.57,955.6,4.48,0
31.01,37.56,49.5,1085.61,191.18,0
16.11,12.45,36.54,549.89,195.43,0
37.08,29.92,34.8,1362.32,337.34,0
29.91,56.7,54.5,1402.64,68.86,0
68.22,35.45,58.51,350.56,243.71,0
47.65,46.49,42.77,41.12,276.93,0
33.84,29.13,44.52,933.35,762.2,0
31.84,33.25,44.92,928.63,158.19,0
55.86,43.57,34.51,235.28,1052.73,0
61.93,42.8,55.07,520.93,134.38,0
64.13,50.22,57.82,78.45,822.35,0
30.23,41.92,28.96,2615.54,789.66,0
31.83,55.28,25.69,328.44,761.64,0
32.86,52.26,34.16,718.35,340.67,0
30.19,30.33,48.06,3106.96,99.71,0
59.96,29.08,64.41,819.74,457.0,0
33.6,48.58,24.71,1326.25,979.66,0
48.33,47.34,31.75,587.28,152.96,0
28.77,52.74,38.05,253.43,1163.46,0
88.47,32.71,42.26,570.45,62.91,1
58.0,56.93,47.84,701.07,926.75,0
26.26,39.5,38.04,516.22,954.44,0
48.02,31.13,44.95,578.09,157.97,0
48.61,53.55,63.85,809.46,165.4,0
42.77,41.02,38.78,987.92,575.59,0
28.3,45.65,35.68,1208.49,561.84,0
68.15,47.65,21.46,513.22,528.78,0
44.71,69.51,44.58,917.29,239.35,0
40.77,41.84,45.38,1101.32,122.61,0
40.75,24.15,45.72,1867.59,370.04,0
31.3,34.08,48.75,1880.36,406.56,0
55.59,53.1,46.62,319.96,512.8,0
35.95,49.91,45.0,1432.91,144.02,0
40.57,31.97,29.3,1102.67,85.45,0
48.27,54.38,34.61,1556.59,400.77,0
45.51,32.46,35.0,1306.26,149.36,0
55.11,52.95,32.77,1642.51,484.94,0
49.35,63.22,25.92,471.1,186.58,0
39.71,46.77,49.36,2529.17,94.61,0
48.48,26.92,64.41,196.54,1436.07,0
47.47,31.49,37.76,1529.15,522.73,0
43.58,33.93,46.09,610.34,147.29,0
48.3,58.63,58.55,1542.26,269.73,0
35.97,43.43,36.12,605.31,128.79,0
33.34,46.36,42.88,678.89,325.39,0
23.34,47.16,51.03,517.69,277.26,0
30.07,47.16,24.94,153.85,135.27,0
26.97,88.62,43.21,390.79,155.21,1
46.55,62.64,63.33,327.74,50.6,0
48.25,44.72,48.25,303.6,252.96,0
49.84,67.94,30.34,2333.95,215.24,0
40.41,43.06,37.54,2493.41,354.85,0
23.63,29.22,48.48,2733.95,163.45,0
75.0,45.7,43.27,13.61,133.33,0
52.33,46.21,36.9,166.88,518.99,0
28.72,70.0,49.03,126.4,351.73,0
39.19,42.75,63.33,1472.89,932.85,0
28.95,53.21,53.23,802.7,859.27,0
19.41,41.33,53.51,991.76,684.74,0
25.18,39.24,65.0,2308.08,724.71,0
5.0,44.61,33.75,1146.73,1530.43,0
97.11,49.36,34.94,792.75,0.82,1
37.28,51.28,40.05,174.54,317.09,0
40.34,61.11,48.99,5.18,31.04,0
21.86,18.54,46.21,222.37,111.03,0
22.2,16.31,32.09,1225.75,296.29,0
16.55,56.55,65.0,303.37,375.68,0
33.7,46.93,34.47,355.57,258.09,0
51.58,28.8,32.02,807.91,200.15,0
45.47,32.63,44.89,112.54,1209.63,0
44.44,55.67,46.73,89.53,42.91,0
38.5,44.81,52.53,818.86,403.85,0
38.3,31.12,25.09,2382.11,133.82,0
45.51,60.59,41.59,1192.34,7.65,0
16.06,29.26,33.39,1380.2,100.23,0
92.49,55.24,27.9,193.5,145.15,1
47.07,23.65,44.48,65.31,129.99,0
27.44,45.84,28.3,417.07,227.5,0
58.52,59.6,39.0,688.53,94.49,0
42.85,53.97,47.08,292.67,525.85,0
9.43,58.05,52.89,947.92,85.5,0
17.29,65.07,35.56,302.9,434.4,0
43.19,46.11,45.26,537.58,61.95,0
94.4,43.42,38.11,1092.09,64.39,1
30.83,44.79,21.05,993.64,1425.26,0
62.92,47.12,22.09,1833.2,466.65,0
40.29,43.75,41.74,9.42,110.99,0
34.22,49.21,46.37,320.77,176.32,0
56.63,40.79,46.47,52.04,2.44,0
90.74,44.71,39.81,576.21,74.1,1
54.94,65.49,33.45,2019.53,330.53,0
38.76,46.75,39.6,444.55,344.82,0
51.9,68.2,46.23,33.35,312.49,0
30.22,43.07,23.77,1071.37,1175.26,0
29.11,49.4,39.27,554.02,48.36,0
17.81,46.63,52.32,1200.01,1082.64,0
21.66,52.56,53.5,868.75,239.61,0
38.66,38.51,34.17,469.68,303.59,0
42.12,47.0,49.82,608.15,55.89,0
45.78,39.86,45.66,1203.67,2000.0,0
56.09,35.14,46.1,1028.61,213.82,0
24.61,46.67,48.26,109.0,515.42,0
16.79,62.98,36.5,1083.73,807.27,0
41.44,40.07,42.9,550.14,526.2,0
44.93,27.54,49.76,353.72,189.3,0
52.93,44.86,51.18,1055.69,235.11,0
52.92,37.93,49.28,1667.07,740.69,0
34.12,49.43,26.75,194.87,675.7,0
33.01,36.77,49.71,1367.18,786.15,0
32.55,52.64,45.1,746.77,129.04,0
30.9,60.43,29.73,505.54,354.33,0
17.09,33.06,44.3,695.01,1264.33,0
55.68,41.4,49.39,2834.41,43.07,0
58.45,67.1,31.01,55.0,82.92,0
44.39,51.13,35.68,293.11,38.01,0
36.31,54.13,32.12,418.01,144.33,0
43.2,54.32,41.8,130.92,174.89,0
17.01,51.8,43.02,1400.3,266.07,0
51.87,28.43,65.0,555.65,552.73,0
75.0,10.0,33.19,257.98,367.12,0
45.01,52.42,33.17,158.89,429.38,0
25.01,29.96,48.43,119.36,2000.0,0
53.94,39.79,31.64,860.97,72.85,0
70.18,37.12,29.92,267.94,740.8,0
23.04,28.11,45.87,87.21,138.63,0
43.45,47.69,31.61,1368.67,9.4,0
50.19,51.39,44.79,518.91,2.95,0
26.21,26.01,29.48,1411.74,69.47,0
89.95,92.31,98.61,4869.4,3388.12,1
31.07,33.02,31.69,1063.46,530.26,0
39.25,53.74,40.0,456.65,892.87,0
23.4,40.98,48.86,2811.54,284.27,0
33.8,42.93,23.89,427.88,780.54,0
47.95,44.91,46.91,232.78,58.49,0
16.83,69.05,33.0,1392.44,303.06,0
26.66,42.9,49.43,493.99,126.77,0
61.04,41.91,46.99,620.14,249.93,0
5.56,37.18,39.42,60.31,231.45,0
46.62,45.24,65.0,1766.86,1123.92,0
52.13,39.13,42.04,392.77,85.84,0
36.18,39.42,48.38,2.0,279.08,0
24.88,53.3,46.56,57.45,221.0,0
97.83,41.57,52.02,2576.0,74.04,1
45.94,43.0,32.8,1210.16,481.48,0
30.81,38.2,39.5,255.41,161.39,0
37.94,27.93,37.06,195.53,158.05,0
54.3,31.18,44.33,1604.46,477.53,0
20.86,47.34,48.34,761.57,402.58,0
28.97,56.61,50.95,681.91,20.25,0
44.62,39.79,38.07,318.83,238.24,0
40.05,48.74,42.06,234.08,276.65,0
42.93,52.5,39.48,535.64,725.03,0
36.65,65.18,29.7,1476.21,20.57,0
53.04,42.43,31.44,143.51,921.13,0
29.98,44.53,30.29,798.82,7.69,0
22.24,48.21,41.7,1273.84,7.94,0
46.29,34.07,41.08,1775.28,331.1,0
45.16,59.29,35.36,945.21,74.33,0
23.1,40.7,21.92,89.53,813.38,0
46.44,32.31,40.2,1037.86,38.88,0
44.86,42.68,51.33,1809.8,549.47,0
25.28,40.08,32.39,1972.61,958.11,0
31.05,40.49,37.79,3496.72,13.36,0
39.89,39.89,31.44,274.57,449.46,0
66.24,37.08,56.77,2447.24,638.66,0
24.85,60.94,48.67,1730.71,932.05,0
29.21,27.23,44.21,834.38,63.9,0
35.75,48.38,52.1,160.02,319.66,0
48.82,88.92,43.03,837.46,245.95,1
29.61,42.97,37.29,1175.88,213.77,0
51.11,57.74,36.71,54.66,314.33,0
37.49,46.62,23.2,2089.92,1087.33,0
52.19,53.36,50.86,1657.47,169.83,0
45.42,44.75,42.16,100.2,472.48,0
34.13,56.58,47.91,702.03,188.49,0
65.44,36.0,36.09,267.91,46.4,0
28.14,58.65,47.96,32.32,305.95,0
43.76,70.0,40.34,2826.82,360.18,0
47.4,51.85,38.55,1831.39,16.68,0
23.62,37.92,56.18,205.66,1234.49,0
39.06,42.89,53.57,167.76,735.39,0
22.06,51.37,37.57,390.3,70.92,0
47.36,51.06,43.71,57.56,171.65,0
25.43,29.57,31.97,684.37,264.5,0
53.08,70.0,49.61,2538.23,28.57,0
20.56,37.35,19.66,592.29,818.25,0
49.49,37.42,34.66,292.22,132.1,0
59.18,35.38,41.07,244.75,89.92,0
39.27,60.61,30.9,352.3,676.26,0
72.85,52.3,38.28,1188.83,9.89,0
43.01,41.55,38.69,996.14,370.03,0
91.52,23.52,34.27,3087.33,548.12,1
60.8,28.83,42.01,835.55,182.38,0
54.79,33.76,39.35,346.03,936.17,0
11.08,47.81,52.64,198.75,387.8,0
50.12,30.64,28.76,252.99,311.68,0
29.99,47.22,35.6,183.62,69.71,0
52.41,66.62,37.99,1226.33,36.34,0
48.37,62.0,34.47,1435.16,601.72,0
45.66,47.0,34.97,196.98,845.78,0
56.45,52.95,33.01,3127.23,1589.13,0
29.2,57.85,41.2,409.53,425.57,0
41.18,31.28,26.93,187.46,785.82,0
35.8,70.0,47.46,43.37,207.91,0
52.27,28.11,41.62,878.19,51.37,0
55.54,39.16,40.23,720.84,68.26,0
5.0,32.72,53.7,548.2,397.3,0
34.19,38.07,34.38,747.79,1799.57,0
44.04,60.6,47.87,803.72,56.74,0
21.43,52.19,42.33,213.65,64.17,0
48.19,57.13,36.4,302.16,375.99,0
40.65,37.43,51.93,511.66,313.07,0
35.91,43.7,32.92,599.19,353.1,0
39.86,60.09,54.92,781.2,383.6,0
37.22,51.25,48.6,1432.51,30.05,0
42.91,51.53,26.0,603.11,30.72,0
5.0,45.25,64.4,936.11,359.68,0
15.18,47.86,48.15,822.58,424.49,0
42.4,40.28,45.38,337.25,567.24,0
37.24,49.74,51.59,580.51,61.83,0
89.66,98.38,96.26,7719.47,4894.83,1
40.84,39.6,29.62,125.37,772.16,0
21.34,56.81,49.96,49.53,273.03,0
59.76,63.43,50.93,283.86,71.42,0
48.82,39.54,45.04,1721.51,106.71,0
29.38,36.14,37.38,52.77,573.75,0
52.3,63.17,52.01,633.52,175.99,0
37.2,43.73,32.03,1432.72,515.37,0
36.48,45.82,34.17,1111.85,505.32,0
53.25,30.29,44.78,2660.02,373.66,0
47.82,50.99,27.97,1267.38,77.03,0
51.63,44.01,44.01,1244.76,380.56,0
26.19,48.7,26.33,324.35,465.89,0
53.08,63.84,40.74,578.25,488.01,0
23.41,49.91,56.76,260.71,242.77,0
43.36,61.36,29.84,1068.42,505.29,0
43.9,49.76,47.73,279.03,697.45,0
48.76,43.49,24.56,217.54,284.42,0
35.22,32.15,46.29,1736.01,366.43,0
57.7,10.8,40.1,48.48,141.2,0
43.65,27.06,62.33,146.85,30.57,0
52.35,94.6,44.11,99.74,403.81,1
18.82,49.78,57.95,123.35,32.19,0
42.78,10.0,41.67,227.64,142.15,0
5.0,24.24,40.66,1628.85,40.84,0
32.72,38.83,51.87,438.5,30.61,0
37.28,70.0,44.46,1328.35,5.45,0
71.11,20.61,35.03,548.56,1894.5,0
46.36,61.98,28.23,403.88,10.94,0
17.85,41.39,37.93,288.83,381.24,0
45.83,34.33,65.0,68.72,417.01,0
20.16,39.01,45.52,1882.23,1137.19,0
36.29,40.73,36.93,84.57,463.87,0
36.54,18.05,37.79,14.71,69.18,0
35.19,43.23,26.68,989.11,164.91,0
26.22,39.72,50.88,93.52,11.12,0
28.65,61.04,45.71,458.37,191.92,0
57.92,47.5,36.27,556.83,7.92,0
25.34,52.52,52.72,1761.02,650.65,0
36.27,28.86,38.13,578.78,16.3,0
30.35,40.28,64.26,740.93,257.55,0
35.23,35.7,47.08,1189.42,43.93,0
46.65,43.53,44.83,68.03,260.24,0
48.29,39.28,57.77,201.77,519.14,0
85.13,84.49,93.69,6308.44,3257.22,1
51.86,11.71,38.15,1080.32,244.43,0
8.5,53.01,40.91,1116.29,216.8,0
39.52,47.18,35.82,1779.96,145.13,0
47.41,40.64,43.87,988.59,299.4,0
41.16,70.0,34.56,2026.75,747.56,0
50.5,55.24,30.97,807.9,1328.46,0
56.05,55.88,43.9,235.56,11.15,0
20.11,52.31,21.74,1188.07,105.99,0
35.27,49.32,20.87,448.19,255.71,0
42.41,45.82,41.7,872.28,260.56,0
63.71,36.09,55.58,202.65,76.0,0
41.08,39.0,42.31,576.24,454.29,0
93.85,62.2,40.56,1349.47,134.86,1
54.18,59.79,40.16,1558.11,600.77,0
59.08,48.29,29.8,183.11,133.17,0
26.74,57.35,42.73,1338.62,19.89,0
39.91,51.07,51.77,817.09,255.3,0
57.6,50.07,17.31,154.81,303.23,0
69.18,38.11,53.61,2755.45,150.86,0
39.62,45.89,31.6,301.15,22.53,0
54.27,70.0,29.29,728.69,214.86,0
34.61,34.99,31.55,365.05,44.49,0
44.51,65.13,26.89,1253.43,8.61,0
61.76,48.0,42.17,2026.77,18.16,0
96.49,97.3,92.16,7851.99,2929.92,1
11.94,48.28,35.2,1093.67,718.41,0
49.53,60.49,46.38,35.23,0.04,0
46.87,44.32,41.7,82.25,700.19,0
27.46,34.97,48.41,157.55,84.19,0
21.54,37.09,27.04,281.12,1813.76,0
26.98,55.26,35.65,1925.83,289.11,0
27.3,48.09,49.11,310.51,839.81,0
37.75,36.18,63.08,480.08,390.48,0
38.3,43.87,46.42,854.54,326.85,0
75.0,36.18,47.59,119.38,243.59,0
43.21,36.02,31.54,398.65,207.08,0
41.26,35.36,32.84,73.48,302.81,0
60.55,48.51,41.36,127.14,718.21,0
55.56,58.5,43.36,72.36,110.56,0
15.9,52.57,46.73,422.53,266.71,0
39.06,39.7,44.56,577.08,119.18,0
45.76,48.9,35.12,564.76,208.28,0
52.75,62.2,57.75,957.39,35.98,0
28.62,59.02,35.64,885.21,1030.69,0
88.88,83.78,92.49,7265.62,4977.88,1
30.85,41.22,38.75,109.94,78.59,0
54.96,21.89,33.02,2745.26,73.46,0
28.69,49.05,46.61,365.59,507.73,0
37.47,40.28,38.83,562.6,399.01,0
54.33,46.33,32.07,696.11,12.45,0
46.27,22.68,40.32,1362.45,12.36,0
29.36,55.53,40.43,1076.46,71.98,0
65.15,68.69,45.67,1391.33,34.54,0
44.45,47.76,48.03,1494.59,410.37,0
42.98,70.0,47.13,142.71,206.36,0
30.16,64.07,40.99,565.84,351.31,0
48.59,30.96,37.15,2377.63,1011.58,0
89.41,39.92,40.45,161.17,1113.83,1
53.39,53.72,39.28,907.37,510.16,0
43.21,51.67,50.77,1869.09,236.15,0
32.84,51.89,47.42,413.15,354.28,0
41.24,69.27,32.52,37.4,380.72,0
31.7,63.51,41.92,1307.33,413.75,0
49.34,29.42,37.31,241.56,38.66,0
46.31,43.06,40.05,297.14,250.1,0
37.14,42.23,45.6,201.9,433.99,0
49.1,40.16,53.33,121.23,1419.53,0
31.5,32.02,46.8,911.26,383.28,0
44.29,39.78,29.18,815.14,523.85,0
36.27,58.48,52.46,122.24,392.09,0
53.06,34.71,38.33,291.18,988.99,0
41.5,38.37,31.27,315.4,246.6,0
32.14,50.53,39.02,196.09,299.5,0
39.64,49.8,52.12,1569.23,131.14,0
53.03,32.77,46.33,380.46,192.79,0
